Image,PSNR (dB),SSIM,MSE
ILSVRC2012_val_00008014.JPEG,34.33,0.9869,23.9754
ILSVRC2012_val_00008015.JPEG,35.45,0.9844,18.5226
ILSVRC2012_val_00008016.JPEG,34.0,0.9868,25.8949
ILSVRC2012_val_00008017.JPEG,32.14,0.9849,39.6825
ILSVRC2012_val_00008019.JPEG,39.28,0.9884,7.6831
ILSVRC2012_val_00008046.JPEG,39.95,0.9862,6.58
ILSVRC2012_val_00008054.JPEG,36.17,0.9845,15.7129
ILSVRC2012_val_00008057.JPEG,31.84,0.9868,42.5439
ILSVRC2012_val_00008058.JPEG,31.62,0.9895,44.8118
ILSVRC2012_val_00008064.JPEG,47.92,0.9981,1.0497
ILSVRC2012_val_00008074.JPEG,31.28,0.9813,48.4588
ILSVRC2012_val_00008081.JPEG,33.3,0.9822,30.4362
ILSVRC2012_val_00008091.JPEG,36.58,0.9886,14.3051
ILSVRC2012_val_00008093.JPEG,32.35,0.9854,37.8163
ILSVRC2012_val_00008105.JPEG,35.43,0.9923,18.6264
ILSVRC2012_val_00008113.JPEG,38.03,0.9876,10.2336
ILSVRC2012_val_00008124.JPEG,33.92,0.9875,26.3621
ILSVRC2012_val_00008133.JPEG,33.43,0.9823,29.4861
ILSVRC2012_val_00008137.JPEG,31.88,0.9806,42.2235
ILSVRC2012_val_00008150.JPEG,49.74,0.9983,0.6911
ILSVRC2012_val_00008163.JPEG,45.68,0.9988,1.76
ILSVRC2012_val_00008171.JPEG,36.72,0.989,13.8384
ILSVRC2012_val_00008175.JPEG,35.38,0.9869,18.8514
ILSVRC2012_val_00008188.JPEG,33.64,0.988,28.1106
ILSVRC2012_val_00008197.JPEG,31.67,0.9826,44.2302
ILSVRC2012_val_00008205.JPEG,30.99,0.985,51.8083
ILSVRC2012_val_00008210.JPEG,33.6,0.9853,28.3963
ILSVRC2012_val_00008223.JPEG,61.68,0.9998,0.0442
ILSVRC2012_val_00008224.JPEG,32.11,0.9838,40.0304
ILSVRC2012_val_00008228.JPEG,31.69,0.9912,44.1097
ILSVRC2012_val_00008230.JPEG,35.6,0.9919,17.9113
ILSVRC2012_val_00008240.JPEG,34.13,0.9825,25.1009
ILSVRC2012_val_00008243.JPEG,32.55,0.9841,36.1572
ILSVRC2012_val_00008252.JPEG,37.73,0.9904,10.957
ILSVRC2012_val_00008254.JPEG,33.09,0.9816,31.9365
ILSVRC2012_val_00008256.JPEG,35.4,0.9903,18.7503
ILSVRC2012_val_00008258.JPEG,33.84,0.9828,26.8888
ILSVRC2012_val_00008260.JPEG,32.07,0.9837,40.3969
ILSVRC2012_val_00008261.JPEG,36.76,0.9855,13.7134
ILSVRC2012_val_00008265.JPEG,41.55,0.9819,4.5544
ILSVRC2012_val_00008269.JPEG,32.71,0.9808,34.8116
ILSVRC2012_val_00008288.JPEG,34.66,0.9849,22.2488
ILSVRC2012_val_00008299.JPEG,31.27,0.9782,48.522
ILSVRC2012_val_00008314.JPEG,36.89,0.9871,13.3204
ILSVRC2012_val_00008316.JPEG,32.49,0.982,36.62
ILSVRC2012_val_00008336.JPEG,32.87,0.9818,33.6084
ILSVRC2012_val_00008342.JPEG,33.13,0.9665,31.6144
ILSVRC2012_val_00008360.JPEG,40.41,0.9916,5.9138
ILSVRC2012_val_00008361.JPEG,37.66,0.9895,11.1545
ILSVRC2012_val_00008363.JPEG,33.96,0.9913,26.1193
ILSVRC2012_val_00008377.JPEG,33.46,0.9843,29.2861
ILSVRC2012_val_00008378.JPEG,32.44,0.9866,37.0667
ILSVRC2012_val_00008381.JPEG,34.0,0.9822,25.8652
ILSVRC2012_val_00008396.JPEG,31.27,0.9907,48.5258
ILSVRC2012_val_00008412.JPEG,34.21,0.9845,24.6397
ILSVRC2012_val_00008416.JPEG,49.76,0.9988,0.6876
ILSVRC2012_val_00008424.JPEG,33.78,0.9858,27.2389
ILSVRC2012_val_00008426.JPEG,43.29,0.9962,3.0473
ILSVRC2012_val_00008427.JPEG,33.91,0.9889,26.441
ILSVRC2012_val_00008434.JPEG,67.97,0.9999,0.0104
ILSVRC2012_val_00008440.JPEG,31.86,0.9883,42.3446
ILSVRC2012_val_00008442.JPEG,36.06,0.9843,16.1058
ILSVRC2012_val_00008466.JPEG,37.91,0.9972,10.5106
ILSVRC2012_val_00008467.JPEG,36.6,0.9851,14.2252
ILSVRC2012_val_00008471.JPEG,30.87,0.99,53.2296
ILSVRC2012_val_00008484.JPEG,60.89,0.9999,0.0529
ILSVRC2012_val_00008489.JPEG,35.36,0.9851,18.9207
ILSVRC2012_val_00008490.JPEG,31.72,0.9704,43.8006
ILSVRC2012_val_00008494.JPEG,46.4,0.9971,1.4906
ILSVRC2012_val_00008503.JPEG,34.59,0.9569,22.5836
ILSVRC2012_val_00008504.JPEG,32.62,0.9882,35.561
ILSVRC2012_val_00008508.JPEG,41.44,0.9972,4.6674
ILSVRC2012_val_00008520.JPEG,33.97,0.9844,26.0705
ILSVRC2012_val_00008541.JPEG,35.84,0.9776,16.9428
ILSVRC2012_val_00008550.JPEG,34.02,0.9844,25.7674
ILSVRC2012_val_00008553.JPEG,31.25,0.9663,48.732
ILSVRC2012_val_00008563.JPEG,63.59,0.9999,0.0285
ILSVRC2012_val_00008573.JPEG,38.39,0.9893,9.4149
ILSVRC2012_val_00008577.JPEG,36.02,0.9822,16.2652
ILSVRC2012_val_00008578.JPEG,33.85,0.9768,26.7752
ILSVRC2012_val_00008583.JPEG,41.82,0.9986,4.2719
ILSVRC2012_val_00008597.JPEG,34.64,0.9637,22.3564
ILSVRC2012_val_00008599.JPEG,34.48,0.9964,23.1772
ILSVRC2012_val_00008601.JPEG,37.07,0.986,12.7546
ILSVRC2012_val_00008603.JPEG,32.31,0.9714,38.1645
ILSVRC2012_val_00008610.JPEG,33.81,0.9829,27.0517
ILSVRC2012_val_00008614.JPEG,54.36,0.9995,0.2384
ILSVRC2012_val_00008628.JPEG,33.65,0.9814,28.0787
ILSVRC2012_val_00008634.JPEG,31.53,0.99,45.7608
ILSVRC2012_val_00008635.JPEG,36.26,0.9883,15.3809
ILSVRC2012_val_00008640.JPEG,33.53,0.987,28.8177
ILSVRC2012_val_00008647.JPEG,31.17,0.9887,49.7044
ILSVRC2012_val_00008653.JPEG,33.53,0.9877,28.839
ILSVRC2012_val_00008656.JPEG,31.46,0.9914,46.4906
ILSVRC2012_val_00008661.JPEG,36.46,0.9874,14.6929
ILSVRC2012_val_00008666.JPEG,32.7,0.9807,34.9392
ILSVRC2012_val_00008704.JPEG,65.26,0.9999,0.0194
ILSVRC2012_val_00008710.JPEG,42.02,0.9976,4.0868
ILSVRC2012_val_00008712.JPEG,31.64,0.9816,44.5373
ILSVRC2012_val_00008715.JPEG,34.29,0.9821,24.2292
ILSVRC2012_val_00008716.JPEG,31.83,0.9894,42.6852
ILSVRC2012_val_00008739.JPEG,33.52,0.9862,28.9195
ILSVRC2012_val_00008743.JPEG,38.16,0.9937,9.9326
ILSVRC2012_val_00008749.JPEG,31.07,0.9801,50.8202
ILSVRC2012_val_00008753.JPEG,35.28,0.9868,19.2601
ILSVRC2012_val_00008763.JPEG,45.42,0.9969,1.8675
ILSVRC2012_val_00008782.JPEG,39.62,0.9957,7.1001
ILSVRC2012_val_00008787.JPEG,35.27,0.9869,19.3071
ILSVRC2012_val_00008795.JPEG,31.96,0.9764,41.4093
ILSVRC2012_val_00008804.JPEG,31.71,0.9845,43.9027
ILSVRC2012_val_00008805.JPEG,34.69,0.9883,22.1007
ILSVRC2012_val_00008812.JPEG,33.47,0.9836,29.2229
ILSVRC2012_val_00008815.JPEG,32.95,0.9821,32.9477
ILSVRC2012_val_00008820.JPEG,33.67,0.9535,27.9206
ILSVRC2012_val_00008825.JPEG,32.91,0.9841,33.2932
ILSVRC2012_val_00008836.JPEG,41.13,0.9964,5.0084
ILSVRC2012_val_00008853.JPEG,31.4,0.9902,47.053
ILSVRC2012_val_00008876.JPEG,32.35,0.9738,37.8101
ILSVRC2012_val_00008877.JPEG,31.47,0.9866,46.3772
ILSVRC2012_val_00008884.JPEG,32.86,0.9859,33.6891
ILSVRC2012_val_00008889.JPEG,31.99,0.9816,41.1293
ILSVRC2012_val_00008890.JPEG,38.06,0.9883,10.1639
ILSVRC2012_val_00008891.JPEG,40.24,0.9987,6.1468
ILSVRC2012_val_00008902.JPEG,31.6,0.9518,44.9973
ILSVRC2012_val_00008912.JPEG,42.69,0.9958,3.4961
ILSVRC2012_val_00008922.JPEG,39.84,0.9923,6.7422
ILSVRC2012_val_00008938.JPEG,41.68,0.9934,4.4134
ILSVRC2012_val_00008940.JPEG,33.12,0.98,31.6896
ILSVRC2012_val_00008959.JPEG,36.75,0.9946,13.736
ILSVRC2012_val_00008981.JPEG,31.83,0.986,42.6368
ILSVRC2012_val_00008983.JPEG,39.6,0.9886,7.1296
ILSVRC2012_val_00008986.JPEG,32.33,0.986,38.0327
ILSVRC2012_val_00008994.JPEG,32.22,0.985,38.987
ILSVRC2012_val_00009000.JPEG,32.56,0.9802,36.025
